DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD008239.pub5,9,9,23,13,75,11
10.1002-14651858.CD009569.pub4,11,2,12,4,38,7
10.1002-14651858.CD013462.pub2,21,4,17,26,108,22
10.1002-14651858.CD011501.pub3,24,5,11,29,54,16
10.1002-14651858.CD013130.pub2,23,6,28,36,125,26
10.1002-14651858.CD013356.pub2,28,6,37,36,100,26
10.1002-14651858.CD013208.pub2,17,7,10,15,57,11
10.1002-14651858.CD015125,20,10,48,35,115,37
10.1002-14651858.CD012892.pub2,19,4,28,13,98,16
10.1002-14651858.CD010088.pub3,29,18,38,26,74,25
10.1002-14651858.CD013739.pub2,23,7,25,37,114,21
10.1002-14651858.CD013520.pub2,12,2,18,15,44,17
10.1002-14651858.CD014328,11,3,27,17,124,28
10.1002-14651858.CD002795.pub3,11,3,9,12,39,19
10.1002-14651858.CD011997.pub2,26,11,29,38,110,23
10.1002-14651858.CD013387.pub2,42,6,15,27,77,20
10.1002-14651858.CD001537.pub5,14,2,10,15,47,6
10.1002-14651858.CD014067.pub2,13,8,20,31,52,18
10.1002-14651858.CD008834.pub4,9,6,16,9,33,6
10.1002-14651858.CD003233.pub3,9,2,10,14,43,4
10.1002-14651858.CD013563.pub2,11,4,19,19,80,28
10.1002-14651858.CD000313.pub6,16,1,9,17,43,12
10.1002-14651858.CD013556.pub2,23,4,26,16,64,20
10.1002-14651858.CD012857.pub2,27,6,31,27,88,9
10.1002-14651858.CD012007.pub2,5,1,7,7,48,14
10.1002-14651858.CD013028.pub3,16,2,9,6,73,15
10.1002-14651858.CD008461.pub4,11,1,13,16,44,12
10.1002-14651858.CD013638.pub2,15,7,35,37,70,33
10.1002-14651858.CD013644.pub2,18,6,24,22,49,8
10.1002-14651858.CD007929.pub4,31,10,18,29,125,41
10.1002-14651858.CD013404.pub2,34,14,31,52,110,17
10.1002-14651858.CD013410.pub2,32,10,32,26,98,33
10.1002-14651858.CD012981.pub2,15,5,10,14,62,7
10.1002-14651858.CD013405.pub2,36,10,21,53,103,14
10.1002-14651858.CD013443.pub2,17,7,27,31,95,20
10.1002-14651858.CD005398.pub4,11,1,9,8,44,15
10.1002-14651858.CD011347.pub3,17,5,19,28,71,22
10.1002-14651858.CD005258.pub4,21,6,29,24,84,30
10.1002-14651858.CD013334.pub2,34,2,42,26,116,17
10.1002-14651858.CD006311.pub4,18,4,16,5,111,27
10.1002-14651858.CD000093.pub6,31,11,20,56,125,23
10.1002-14651858.CD015308,26,6,44,42,121,25
10.1002-14651858.CD013736.pub2,10,5,13,9,35,10
10.1002-14651858.CD013593.pub2,18,5,15,17,68,9
10.1002-14651858.CD004976.pub4,16,0,18,9,49,14
10.1002-14651858.CD001970.pub6,8,4,13,8,42,11
10.1002-14651858.MR000028.pub3,8,2,15,14,62,20
10.1002-14651858.CD015029,23,10,42,44,107,23
10.1002-14651858.CD012688.pub3,30,11,16,25,93,20
10.1002-14651858.CD000029.pub4,10,4,13,10,68,12
10.1002-14651858.CD014653,13,6,18,20,41,9
10.1002-14651858.CD004429.pub3,14,4,9,8,40,19
10.1002-14651858.CD011862.pub3,13,4,20,23,88,17
10.1002-14651858.CD010037.pub4,14,1,22,15,61,15
10.1002-14651858.CD005003.pub4,16,2,7,10,48,9
10.1002-14651858.CD002990.pub4,17,6,18,25,87,36
10.1002-14651858.CD009151.pub2,14,4,23,14,59,20
10.1002-14651858.CD013167.pub2,27,6,35,33,100,19
10.1002-14651858.CD003654.pub6,6,2,11,7,38,6
10.1002-14651858.CD013453.pub2,18,2,12,21,58,9
10.1002-14651858.CD005415.pub4,7,1,14,9,53,17
10.1002-14651858.CD013790.pub2,26,3,18,40,102,2
10.1002-14651858.CD013440.pub2,8,6,16,29,47,18
10.1002-14651858.CD013320.pub2,15,1,16,8,44,5
10.1002-14651858.CD013254.pub2,10,4,17,15,79,17
10.1002-14651858.CD013345.pub2,10,6,15,24,65,26
10.1002-14651858.CD013486.pub2,16,4,28,27,61,23
10.1002-14651858.CD003453.pub2,38,22,34,38,94,24
10.1002-14651858.CD012851.pub2,20,9,19,32,80,22
10.1002-14651858.CD010622.pub2,24,3,13,22,62,15
10.1002-14651858.CD010117.pub2,21,4,34,11,99,48
10.1002-14651858.CD000979.pub3,23,6,20,19,58,22
10.1002-14651858.CD006614.pub4,29,8,22,30,104,24
10.1002-14651858.CD012798.pub3,14,2,19,16,45,15
10.1002-14651858.CD012619.pub3,19,8,26,16,62,21
10.1002-14651858.CD013139.pub2,18,7,22,28,78,26
10.1002-14651858.CD014953.pub2,11,1,14,11,48,18
10.1002-14651858.CD002042.pub5,28,11,22,41,106,16
10.1002-14651858.CD009191.pub4,19,5,21,22,66,12
10.1002-14651858.CD002008.pub5,23,15,31,58,108,22
10.1002-14651858.CD013309.pub3,15,3,17,10,67,7
10.1002-14651858.CD006386.pub4,26,12,31,48,98,13
10.1002-14651858.CD010618.pub2,16,4,29,22,58,15
10.1002-14651858.CD008212.pub2,23,5,18,18,69,25
10.1002-14651858.CD005072.pub4,14,2,7,7,36,9
10.1002-14651858.CD012912.pub2,23,3,11,13,58,16
10.1002-14651858.CD010583.pub5,16,5,18,7,83,29
10.1002-14651858.CD013304.pub2,28,8,49,28,95,30
10.1002-14651858.CD009595.pub3,15,3,26,17,71,16
10.1002-14651858.CD008012.pub4,4,1,7,3,19,5
10.1002-14651858.CD013839.pub2,18,9,17,24,91,22
