DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD014887.pub2,6,6,21,11,66,24
10.1002-14651858.CD013724.pub2,17,1,23,13,62,15
10.1002-14651858.CD007216.pub2,31,12,33,14,134,38
10.1002-14651858.CD012979.pub3,7,1,17,10,39,10
10.1002-14651858.CD003935.pub5,15,4,51,17,145,30
10.1002-14651858.CD010473.pub4,21,0,24,18,100,37
10.1002-14651858.MR000050.pub2,25,3,42,22,119,35
10.1002-14651858.CD011136.pub3,21,4,34,44,102,56
10.1002-14651858.CD013554.pub2,14,7,40,11,83,49
10.1002-14651858.CD011412.pub4,28,5,55,22,127,42
10.1002-14651858.CD013555.pub2,19,2,36,19,81,34
10.1002-14651858.CD012926.pub2,7,1,19,12,36,17
10.1002-14651858.CD013846.pub2,10,5,35,12,109,31
10.1002-14651858.CD013339.pub2,22,9,38,28,139,68
10.1002-14651858.CD005612.pub5,22,2,30,26,106,32
10.1002-14651858.CD011135.pub3,21,8,49,23,126,40
10.1002-14651858.CD012457.pub2,12,2,18,11,46,24
10.1002-14651858.CD012867.pub3,14,11,20,16,109,51
10.1002-14651858.CD009662.pub3,16,7,23,14,76,54
10.1002-14651858.CD014257.pub2,30,9,20,26,127,70
10.1002-14651858.CD010893.pub4,28,12,35,8,124,52
10.1002-14651858.CD006430.pub3,17,4,38,22,119,74
10.1002-14651858.CD010890.pub2,25,8,58,25,107,34
10.1002-14651858.CD011027.pub3,16,7,32,13,92,42
10.1002-14651858.CD008524.pub4,16,2,28,17,87,34
10.1002-14651858.CD008239.pub5,9,7,21,12,82,32
10.1002-14651858.CD009569.pub4,18,1,27,5,67,15
10.1002-14651858.CD013462.pub2,16,0,21,14,93,32
10.1002-14651858.CD011501.pub3,24,3,22,21,102,33
10.1002-14651858.CD013130.pub2,23,3,40,22,122,32
10.1002-14651858.CD013356.pub2,21,0,37,33,107,40
10.1002-14651858.CD013208.pub2,16,1,28,16,75,19
10.1002-14651858.CD015125,14,8,32,31,128,50
10.1002-14651858.CD012892.pub2,20,4,39,2,151,39
10.1002-14651858.CD010088.pub3,25,13,39,27,101,28
10.1002-14651858.CD013739.pub2,22,7,48,21,115,34
10.1002-14651858.CD013520.pub2,19,2,47,31,144,40
10.1002-14651858.CD014328,18,3,50,14,139,49
10.1002-14651858.CD002795.pub3,9,1,15,19,81,31
10.1002-14651858.CD011997.pub2,10,5,35,10,129,44
10.1002-14651858.CD013387.pub2,34,3,39,28,113,57
10.1002-14651858.CD001537.pub5,25,1,55,8,111,40
10.1002-14651858.CD014067.pub2,7,5,35,9,60,25
10.1002-14651858.CD008834.pub4,24,7,34,12,92,32
10.1002-14651858.CD003233.pub3,23,9,51,9,109,40
10.1002-14651858.CD013563.pub2,24,4,35,25,154,73
10.1002-14651858.CD000313.pub6,13,2,16,17,64,24
10.1002-14651858.CD013556.pub2,23,7,36,23,118,41
10.1002-14651858.CD012857.pub2,15,4,35,28,90,21
10.1002-14651858.CD012007.pub2,19,2,24,20,79,31
10.1002-14651858.CD013028.pub3,18,0,28,15,127,52
10.1002-14651858.CD008461.pub4,9,0,10,9,28,13
10.1002-14651858.CD013638.pub2,17,5,49,33,83,44
10.1002-14651858.CD013644.pub2,8,5,21,13,42,21
10.1002-14651858.CD007929.pub4,21,12,22,16,141,47
10.1002-14651858.CD013404.pub2,19,2,39,44,135,62
10.1002-14651858.CD013410.pub2,26,1,43,23,131,39
10.1002-14651858.CD012981.pub2,21,3,42,28,121,41
10.1002-14651858.CD013405.pub2,19,3,40,50,134,42
10.1002-14651858.CD013443.pub2,14,4,29,18,94,21
10.1002-14651858.CD005398.pub4,16,1,22,24,100,26
10.1002-14651858.CD011347.pub3,21,4,39,17,125,59
